ORDER,OD,THK,LENGTH,QTY,DATE
P26000,1219,9.3,12000,40,2026-04-01
P26001,610,31.2,12802,12,2026-04-01
P26002,1219,19.05,12000,25,2026-04-01
P26003,914,12.7,18288,25,2026-04-02
P26004,457,31.2,18288,5,2026-04-02
P26005,762,25.4,12000,40,2026-04-02
P26006,1219,9.3,12000,25,2026-04-02
P26007,1016,25.4,18288,70,2026-04-03
P26008,457,9.3,12802,5,2026-04-03
P26009,457,15.9,18288,5,2026-04-03
P26010,1422,12.7,18288,12,2026-04-03
P26011,1422,19.05,18288,40,2026-04-04
P26012,610,25.4,12000,120,2026-04-04
P26013,762,9.3,18288,5,2026-04-04
P26014,1422,31.2,12802,40,2026-04-04
